央视频道,#genre#
深圳卫视,http://119.126.159.38:4000/rtp/239.77.0.92:5146
深圳卫视,http://119.126.159.38:4000/rtp/239.77.1.3:5146
深圳卫视,http://171.120.102.8:8084/rtp/226.0.2.147:9088
深圳卫视,http://123.117.162.215:58888/rtp/239.3.1.134:8020
深圳卫视,http://218.76.54.101:9901/tsfile/live/0126_1.m3u8?key=txiptv
深圳卫视,http://504099760.qicp.vip:9901/tsfile/live/0126_1.m3u8?key=txiptv
深圳卫视,http://113.57.109.36:9901/tsfile/live/0126_1.m3u8?key=txiptv
深圳卫视,http://221.7.175.154:8445/tsfile/live/0126_1.m3u8?key=txiptv
深圳卫视,http://58.19.13.92:9901/tsfile/live/1023_1.m3u8?key=txiptv
深圳卫视,http://61.169.37.218:9901/tsfile/live/24324_1.m3u8?key=txiptv
深圳卫视,http://218.17.181.26:1099/tsfile/live/0126_1.m3u8?key=txiptv
辽宁卫视,http://175.0.24.23:8888/rtp/239.1.0.187:1025
辽宁卫视,http://221.7.175.154:8445/tsfile/live/0121_1.m3u8?key=txiptv
辽宁卫视,http://58.19.13.92:9901/tsfile/live/1027_1.m3u8?key=txiptv
辽宁卫视,https://tv.smart-chat.net/migu.php?id=lnws
海南卫视,http://219.156.52.203:4000/rtp/225.1.4.195:1310
海南卫视,http://119.126.159.38:4000/rtp/239.253.43.35:5146
海南卫视,http://183.166.125.67:8888/rtp/238.1.79.49:4504
山东卫视,http://219.156.52.203:4000/rtp/225.1.4.88:1117
山东卫视,http://117.82.67.26:8880/rtp/239.49.8.146:6000
山东卫视,http://117.82.67.26:8880/rtp/239.49.8.7:9306
山东卫视,http://119.126.159.38:4000/rtp/239.77.0.94:5146
山东卫视,http://171.120.102.8:8084/rtp/226.0.2.149:9104
山东卫视,http://183.166.125.67:8888/rtp/238.1.78.169:7224
山东卫视,http://218.76.54.101:9901/tsfile/live/0131_1.m3u8?key=txiptv
山东卫视,http://504099760.qicp.vip:9901/tsfile/live/0131_1.m3u8?key=txiptv
山东卫视,http://113.57.109.36:9901/tsfile/live/1002_1.m3u8?key=txiptv
山东卫视,http://58.19.13.92:9901/tsfile/live/1025_1.m3u8?key=txiptv
山东卫视,http://61.169.37.218:9901/tsfile/live/24326_1.m3u8?key=txiptv
天津卫视,http://219.156.52.203:4000/rtp/225.1.4.86:1115
天津卫视,http://119.126.159.38:4000/rtp/239.77.0.131:5146
天津卫视,http://119.126.159.38:4000/rtp/239.77.1.182:5146
天津卫视,http://218.76.54.101:9901/tsfile/live/0135_1.m3u8?key=txiptv
天津卫视,http://113.57.109.36:9901/tsfile/live/0135_1.m3u8?key=txiptv
天津卫视,http://221.7.175.154:8445/tsfile/live/0135_1.m3u8?key=txiptv
天津卫视,http://58.19.13.92:9901/tsfile/live/1024_1.m3u8?key=txiptv
重庆卫视,http://119.126.159.38:4000/rtp/239.77.0.182:5146
重庆卫视,http://119.126.159.38:4000/rtp/239.77.1.162:5146
重庆卫视,http://171.120.102.8:8084/rtp/226.0.2.174:9304
重庆卫视,http://183.166.125.67:8888/rtp/238.1.78.31:6176
重庆卫视,http://504099760.qicp.vip:9901/tsfile/live/0142_1.m3u8?key=txiptv
重庆卫视,http://113.57.109.36:9901/tsfile/live/0142_1.m3u8?key=txiptv
重庆卫视,http://221.7.175.154:8445/tsfile/live/0142_1.m3u8?key=txiptv
东南卫视,http://220.191.34.179:8888/rtp/233.50.201.146:5140
东南卫视,http://219.156.52.203:4000/rtp/225.1.4.228:1274
东南卫视,http://119.126.159.38:4000/rtp/239.77.1.104:5146
东南卫视,http://183.166.125.67:8888/rtp/238.1.78.22:6104
东南卫视,http://504099760.qicp.vip:9901/tsfile/live/0137_1.m3u8?key=txiptv
东南卫视,http://113.57.109.36:9901/tsfile/live/0137_1.m3u8?key=txiptv
东南卫视,http://58.19.13.92:9901/tsfile/live/1028_1.m3u8?key=txiptv
甘肃卫视,http://119.126.159.38:4000/rtp/239.77.0.189:5146
甘肃卫视,http://504099760.qicp.vip:9901/tsfile/live/0141_1.m3u8?key=txiptv
广西卫视,http://504099760.qicp.vip:9901/tsfile/live/0113_1.m3u8?key=txiptv
广西卫视,http://221.7.175.154:8445/tsfile/live/0113_2.m3u8?key=txiptv
贵州卫视,http://219.156.52.203:4000/rtp/225.1.4.122:1302
贵州卫视,http://117.82.67.26:8880/rtp/239.49.8.174:6000
贵州卫视,http://117.82.67.26:8880/rtp/239.49.8.49:8000
贵州卫视,http://119.126.159.38:4000/rtp/239.77.0.230:5146
贵州卫视,http://221.7.175.154:8445/tsfile/live/0120_1.m3u8?key=txiptv
贵州卫视,http://58.19.13.92:9901/tsfile/live/1030_1.m3u8?key=txiptv
河北卫视,http://219.156.52.203:4000/rtp/225.1.4.123:1304
河北卫视,http://119.126.159.38:4000/rtp/239.77.0.148:5146
河北卫视,http://183.166.125.67:8888/rtp/238.1.78.245:7832
河北卫视,http://113.57.109.36:9901/tsfile/live/0117_1.m3u8?key=txiptv
河北卫视,http://221.7.175.154:8445/tsfile/live/0117_1.m3u8?key=txiptv
黑龙江卫视,http://219.156.52.203:4000/rtp/225.1.4.91:1120
黑龙江卫视,http://119.126.159.38:4000/rtp/239.77.0.124:5146
黑龙江卫视,http://119.126.159.38:4000/rtp/239.77.1.179:5146
黑龙江卫视,http://123.117.162.215:58888/rtp/239.3.1.133:8016
黑龙江卫视,http://218.76.54.101:9901/tsfile/live/0143_1.m3u8?key=txiptv
黑龙江卫视,http://113.57.109.36:9901/tsfile/live/0143_1.m3u8?key=txiptv
黑龙江卫视,http://221.7.175.154:8445/tsfile/live/0131_1.m3u8?key=txiptv
黑龙江卫视,http://61.169.37.218:9901/tsfile/live/24325_1.m3u8?key=txiptv
黑龙江卫视,http://504099760.qicp.vip:9901/tsfile/live/0143_1.m3u8?key=txiptv
河南卫视,http://220.191.34.179:8888/rtp/233.50.201.144:5140
河南卫视,http://119.126.159.38:4000/rtp/239.77.1.229:5146
河南卫视,http://504099760.qicp.vip:9901/tsfile/live/0139_1.m3u8?key=txiptv
河南卫视,http://113.57.109.36:9901/tsfile/live/0139_1.m3u8?key=txiptv
河南卫视,http://221.7.175.154:8445/tsfile/live/0139_1.m3u8?key=txiptv
河南卫视,http://58.19.13.92:9901/tsfile/live/1026_1.m3u8?key=txiptv
湖北卫视,http://219.156.52.203:4000/rtp/225.1.4.89:1118
湖北卫视,http://119.126.159.38:4000/rtp/239.77.0.128:5146
湖北卫视,http://119.126.159.38:4000/rtp/239.77.1.93:5146
湖北卫视,http://218.76.54.101:9901/tsfile/live/0132_1.m3u8?key=txiptv
湖北卫视,http://504099760.qicp.vip:9901/tsfile/live/0132_1.m3u8?key=txiptv
湖北卫视,http://113.57.109.36:9901/tsfile/live/1013_1.m3u8?key=txiptv
